wine_name,wine_style,viticultural_domain,grape_variety,region,alcohol_content,allergens,food_pairing,wine_rating,wine_rating_nb,bottle_price,bottle_image,wine_url
Cabernet Sauvignon 2015,Napa Valley Cabernet Sauvignon,St. Supéry,100 % Cabernet Sauvignon,États-Unis / California / North Coast / Napa County / Napa Valley,14.5 %,sulfites,"Bœuf,Agneau,Gibier (cerf, chevreuil),Fromage affiné et à pâte dure,Volaille","4,2",870 notes,"€26,50",https://images.vivino.com/thumbs/iQIoxuCUS2q6MKZuFLpv0g_pb_x600.png,https://www.vivino.com/FR/fr/st-supery-vineyards-and-winery-cabernet-sauvignon-napa-valley/w/1139494?year=2015&price_id=22247202
Alexander Valley Cabernet Sauvignon 2015,Cabernet Sauvignon (Californie),Louis M. Martini,100 % Cabernet Sauvignon,États-Unis / California / North Coast / Sonoma County / Alexander Valley,15 %,sulfites,"Bœuf,Agneau,Gibier (cerf, chevreuil),Volaille","4,1",1285 notes,"€29,95",https://images.vivino.com/thumbs/URhx0zfKQE2pTlhwa4W3uw_pb_x600.png,https://www.vivino.com/FR/fr/louis-m-martini-alexander-valley-cabernet-sauvignon/w/1507069?year=2015&price_id=21717612
Cabernet Sauvignon 2014,Napa Valley Cabernet Sauvignon,St. Supéry,100 % Cabernet Sauvignon,États-Unis / California / North Coast / Napa County / Napa Valley,14.5 %,sulfites,"Bœuf,Agneau,Gibier (cerf, chevreuil),Fromage affiné et à pâte dure,Volaille","4,1",1012 notes,"€30,50",https://images.vivino.com/thumbs/iQIoxuCUS2q6MKZuFLpv0g_pb_x600.png,https://www.vivino.com/FR/fr/st-supery-vineyards-and-winery-cabernet-sauvignon-napa-valley/w/1139494?year=2014&price_id=22319144
Chenin Blanc - Viognier 2016,Vin blanc de Californie (assemblage),Pine Ridge,"80 % Chenin Blanc, 20 % Viognier",États-Unis / California / North Coast / Napa County / Napa Valley,12.5 %,sulfites,"Pâtes,Porc,Crustacés,Volaille","4,0",2302 notes,"€19,90",https://images.vivino.com/thumbs/n_qou98aTbu6oXh2m-pJFQ_pb_x600.png,https://www.vivino.com/FR/fr/pine-ridge-chenin-blanc-viognier/w/3529?year=2016&price_id=21059895
Sauvignon Blanc 2017,Sauvignon Blanc (Californie),St. Supéry,100 % Sauvignon Blanc,États-Unis / California / North Coast / Napa County / Napa Valley,13.5 %,sulfites,"Crustacés,Végétarien,Fromage de chèvre","4,0",963 notes,€15,https://images.vivino.com/thumbs/uc1ujhBcQpe9lpuOdKtE8w_pb_x600.png,https://www.vivino.com/FR/fr/st-supery-vineyards-and-winery-sauvignon-blanc/w/1139485?year=2017&price_id=22319143
Pinot Noir Santa Barbara County 2019,Pinot Noir (Californie),Au Bon Climat,100 % Pinot Noir,États-Unis / California / Central Coast / Santa Barbara County,13.5 %,sulfites,"Bœuf,Veau,Gibier (cerf, chevreuil),Volaille","4,0",711 notes,€34,https://images.vivino.com/thumbs/Pyx4Ac9nSXW-rsqnP5eAYg_pb_x600.png,https://www.vivino.com/FR/fr/au-bon-climat-winery-pinot-noir-santa-barbara-county/w/1714603?year=2019&price_id=26184844
Director's Cut Chardonnay 2019,Chardonnay (Californie),Francis Ford Coppola Winery,100 % Chardonnay,États-Unis / California / North Coast / Sonoma County / Russian River Valley,13.5 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Végétarien,Volaille","4,0",88 notes,"€29,90",https://images.vivino.com/thumbs/2nj9zHSXQwO5r1HiWe3axw_pb_x600.png,https://www.vivino.com/FR/fr/francis-ford-coppola-winery-director-s-cut-chardonnay/w/6276?year=2019&price_id=23672905
Virtú (White Meritage) 2015,Vin blanc de Californie (assemblage),St. Supéry,"Sauvignon Blanc, Sémillon",États-Unis / California / North Coast / Napa County / Napa Valley,,sulfites,"Pâtes,Porc,Crustacés,Volaille","4,0",33 notes,€23,https://images.vivino.com/thumbs/mt3LiUj-T0KmvQ_OKzvIKQ_pb_x600.png,https://www.vivino.com/FR/fr/st-supery-vineyards-and-winery-virtu-white-meritage/w/1321311?year=2015&price_id=22823853
Diamond Collection Cabernet Sauvignon 2017,Cabernet Sauvignon (Californie),Francis Ford Coppola Winery,100 % Cabernet Sauvignon,États-Unis / California,14.1 %,sulfites,"Bœuf,Agneau,Gibier (cerf, chevreuil),Volaille","3,9",8282 notes,"€25,90",https://images.vivino.com/thumbs/UVGmV68bQC6pc42Ijq5-fA_pb_x600.png,https://www.vivino.com/FR/fr/francis-ford-coppola-winery-diamond-collection-cabernet-sauvignon/w/6304?year=2017&price_id=21059969
Sonoma County Zinfandel 2015,Zinfandel (Californie),Decoy,100 % Zinfandel,États-Unis / California / North Coast / Sonoma County,13.9 %,"sulfites, allergènes (œufs), allergènes (lait)","Bœuf,Agneau,Volaille","3,9",1399 notes,"€23,84",https://images.vivino.com/thumbs/U36wAQ_nQXi95icgpAkqgA_pb_x600.png,https://www.vivino.com/FR/fr/decoy-sonoma-county-zinfandel/w/1128383?year=2015&price_id=25144374
